#compound	modifier	head	label
schottenhammel	schotten	hammel	OTHER
siegerhammel	sieger	hammel	OTHER
streithammel	streit	hammel	DEROGATORY
sündenhammel	sünde	hammel	OTHER
wolfshammel	wolf	hammel	OTHER
zeithammel	zeit	hammel	OTHER
zinkhammel	zink	hammel	OTHER
zuchthammel	zucht	hammel	OTHER
zwerghammel	zwerg	hammel	OTHER
angorahase	angora	hase	OTHER
angsthase	angst	hase	DEROGATORY
babyhase	baby	hase	OTHER
berghase	berg	hase	OTHER
duracell-hase	duracell	hase	OTHER
holzhase	holz	hase	OTHER
kuschelhase	kuscheln	hase	OTHER
lindt-hase	lindt	hase	OTHER
märzhase	märz	hase	OTHER
osterhase	oster	hase	OTHER
pampashase	pampa	hase	OTHER
plüschhase	plüsch	hase	OTHER
präriehase	prärie	hase	OTHER
riesenhase	riese	hase	OTHER
schlachthase	schlacht	hase	OTHER
schokoladenhase	schokolade	hase	OTHER
stallhase	stall	hase	OTHER
stoffhase	stoff	hase	OTHER
waldhase	wald	hase	OTHER
zuckerhase	zucker	hase	OTHER
crossover-held	crossover	held	OTHER
kinoheld	kino	held	OTHER
künstlerheld	künstler	held	OTHER
maulheld	maul	held	DEROGATORY
pantoffelheld	pantoffel	held	DEROGATORY
psychiaterheld	psychiater	held	OTHER
rallye-held	rallye	held	OTHER
rasenheld	rasen	held	OTHER
rennsport-held	rennsport	held	OTHER
ringerheld	ringer	held	OTHER
schottenheld	schotten	held	OTHER
sintflutheld	sintflut	held	OTHER
spielerheld	spieler	held	OTHER
story-held	story	held	OTHER
szene-held	szene	held	OTHER
terrorheld	terror	held	OTHER
tragödien-held	tragödie	held	OTHER
trojanerheld	trojaner	held	OTHER
widerstands-held	widerstand	held	OTHER
zehnkampf-held	zehnkampf	held	OTHER
araberhengst	araber	hengst	OTHER
ausnahmehengst	ausnahme	hengst	OTHER
bürohengst	büro	hengst	DEROGATORY
dressurhengst	dressur	hengst	OTHER
elitehengst	elite	hengst	OTHER
eselhengst	esel	hengst	OTHER
friesenhengst	fries	hengst	OTHER
fuchshengst	fuchs	hengst	OTHER
kaltbluthengst	kaltblut	hengst	OTHER
paragraphenhengst	paragraph	hengst	DEROGATORY
partyhengst	party	hengst	OTHER
ponyhengst	pony	hengst	OTHER
prämienhengst	prämie	hengst	OTHER
rapphengst	rapp	hengst	OTHER
schimmelhengst	schimmel	hengst	OTHER
schreibtischhengst	schreibtisch	hengst	DEROGATORY
siegerhengst	sieger	hengst	OTHER
stempelhengst	stempel	hengst	OTHER
vollbluthengst	vollblut	hengst	OTHER
zuchthengst	zucht	hengst	OTHER
albino-henne	albino	henne	OTHER
ammen-henne	amme	henne	OTHER
auerhenne	auer	henne	OTHER
bruthenne	brut	henne	OTHER
fenster-henne	fenster	henne	OTHER
geflügelhenne	geflügel	henne	OTHER
herbsthenne	herbst	henne	OTHER
himmelshenne	himmel	henne	OTHER
hochleistungshenne	hochleistung	henne	OTHER
krampfhenne	krampf	henne	DEROGATORY
käfighenne	käfig	henne	OTHER
lachshenne	lachs	henne	OTHER
mischlingshenne	mischling	henne	OTHER
möwenhenne	möwe	henne	OTHER
osterhenne	oster	henne	OTHER
rassehenne	rasse	henne	OTHER
schopfhenne	schopf	henne	OTHER
streithenne	streit	henne	DEROGATORY
windhenne	wind	henne	OTHER
zwergenhenne	zwerg	henne	OTHER
armenhäusler	arm	häusler	OTHER
auenhäusler	aue	häusler	OTHER
brauhäusler	brauen	häusler	OTHER
forstenhäusler	forst	häusler	OTHER
gartenhäusler	garten	häusler	OTHER
gewandhäusler	gewand	häusler	OTHER
irrenhäusler	irre	häusler	DEROGATORY
katzenhäusler	katze	häusler	OTHER
rauchhäusler	rauch	häusler	OTHER
reihenhäusler	reihe	häusler	OTHER
schlafhäusler	schlaf	häusler	OTHER
schneckenhäusler	schnecke	häusler	OTHER
spinnhäusler	spinnen	häusler	OTHER
steinhäusler	stein	häusler	OTHER
tanzhäusler	tanz	häusler	OTHER
taubenhäusler	taube	häusler	OTHER
tropfhäusler	tropf	häusler	OTHER
waisenhäusler	waise	häusler	OTHER
waldhäusler	wald	häusler	OTHER
zuchthäusler	zucht	häusler	DEROGATORY
bachhörer	bach	hörer	OTHER
chartshörer	chart	hörer	DEROGATORY
durchschnittshörer	durchschnitt	hörer	OTHER
emotionshörer	emotion	hörer	OTHER
freizeithörer	freizeit	hörer	OTHER
gasthörer	gast	hörer	OTHER
glashörer	glas	hörer	OTHER
handy-hörer	handy	hörer	OTHER
jazzhörer	jazz	hörer	OTHER
knopfhörer	knopf	hörer	OTHER
kopfhörer	kopf	hörer	OTHER
kurzwellenhörer	kurzwelle	hörer	OTHER
lokalradio-hörer	lokalradio	hörer	OTHER
mobiltelefonhörer	mobiltelefon	hörer	OTHER
rockmusikhörer	rockmusik	hörer	OTHER
schubert-hörer	schubert	hörer	OTHER
wdr-hörer	wdr	hörer	OTHER
zauberhörer	zauber	hörer	OTHER
zeithörer	zeit	hörer	OTHER
zeitungshörer	zeitung	hörer	OTHER
ameisenigel	ameise	igel	OTHER
borstenigel	borste	igel	OTHER
gel-igel	gel	igel	OTHER
giraffenigel	giraffe	igel	OTHER
hasenigel	hase	igel	OTHER
herzigel	herz	igel	OTHER
kresseigel	kresse	igel	OTHER
käseigel	käse	igel	OTHER
plüsch-igel	plüsch	igel	OTHER
saugigel	saug	igel	OTHER
schnabeligel	schnabel	igel	OTHER
schnee-igel	schnee	igel	OTHER
schweinigel	schwein	igel	DEROGATORY
seifenigel	seife	igel	OTHER
steppenigel	steppe	igel	OTHER
streichholzigel	streichholz	igel	OTHER
waldigel	wald	igel	OTHER
wochenigel	woche	igel	OTHER
zwergigel	zwerg	igel	OTHER
überwinterungsigel	überwinterung	igel	OTHER
aschenjunge	asche	junge	OTHER
besenjunge	besen	junge	OTHER
braunbärenjunge	braunbär	junge	OTHER
bürojunge	büro	junge	OTHER
entenjunge	ente	junge	OTHER
ersatzjunge	ersatz	junge	OTHER
hüttenjunge	hütte	junge	OTHER
kleinstadt-junge	kleinstadt	junge	OTHER
konditorjunge	konditor	junge	OTHER
latinojunge	latino	junge	OTHER
lausejunge	lause	junge	DEROGATORY
löwenjunge	löwe	junge	OTHER
motor-junge	motor	junge	OTHER
nomadenjunge	nomade	junge	OTHER
ringeltaubenjunge	ringeltaube	junge	OTHER
schiffsjunge	schiff	junge	OTHER
sklavenjunge	sklave	junge	OTHER
steinzeitjunge	steinzeit	junge	OTHER
waisenjunge	waise	junge	OTHER
waldjunge	wald	junge	OTHER
auflagen-jäger	auflage	jäger	OTHER
delphin-jäger	delphin	jäger	OTHER
favoriten-jäger	favorit	jäger	OTHER
geißbockjäger	geißbock	jäger	OTHER
gezeitenjäger	gezeit	jäger	OTHER
harpunenjäger	harpune	jäger	OTHER
hirschjäger	hirsch	jäger	OTHER
kanonenjäger	kanone	jäger	OTHER
klangjäger	klang	jäger	OTHER
kostenjäger	kosten	jäger	OTHER
milbenjäger	milbe	jäger	OTHER
pistenjäger	piste	jäger	OTHER
planetoidenjäger	planetoid	jäger	OTHER
schürzenjäger	schürze	jäger	DEROGATORY
spielspaßjäger	spielspaß	jäger	OTHER
stasi-jäger	stasi	jäger	OTHER
u-boot-jäger	uboot	jäger	OTHER
vampirjäger	vampir	jäger	OTHER
volksjäger	volk	jäger	OTHER
wildschweinjäger	wildschwein	jäger	OTHER
alpenkalb	alp	kalb	OTHER
bullenkalb	bulle	kalb	OTHER
elch-kalb	elch	kalb	OTHER
giraffenkalb	giraffe	kalb	OTHER
gnu-kalb	gnu	kalb	OTHER
grauwalkalb	grauwal	kalb	OTHER
importkalb	import	kalb	OTHER
kamelkalb	kamel	kalb	OTHER
kreuzungskalb	kreuzung	kalb	OTHER
meerkalb	meer	kalb	OTHER
milchkalb	milch	kalb	OTHER
mondkalb	mond	kalb	DEROGATORY
moschusochsenkalb	moschusochse	kalb	OTHER
qualitätskalb	qualität	kalb	OTHER
rinderkalb	rind	kalb	OTHER
rothirschkalb	rothirsch	kalb	OTHER
stierenkalb	stier	kalb	OTHER
tierkalb	tier	kalb	OTHER
versuchskalb	versuch	kalb	OTHER
weidekalb	weide	kalb	OTHER
abendmahlkanne	abendmahl	kanne	OTHER
aluminiumkanne	aluminium	kanne	OTHER
bierkanne	bier	kanne	OTHER
blattkanne	blatt	kanne	OTHER
brandkanne	brand	kanne	DEROGATORY
breitensportkanne	breitensport	kanne	OTHER
bronzekanne	bronze	kanne	OTHER
druckkanne	druck	kanne	OTHER
filterkanne	filter	kanne	OTHER
glaskanne	glas	kanne	OTHER
glühwein-kanne	glühwein	kanne	OTHER
jugendstil-kanne	jugendstil	kanne	OTHER
kotzkanne	kotzen	kanne	DEROGATORY
metallkanne	metall	kanne	OTHER
saftkanne	saft	kanne	OTHER
suppenkanne	suppe	kanne	OTHER
tagungskanne	tagung	kanne	OTHER
termoskanne	termos	kanne	OTHER
vogelkanne	vogel	kanne	OTHER
wasserkanne	wasser	kanne	OTHER
armee-kanone	armee	kanone	OTHER
bier-kanone	bier	kanone	OTHER
bonbonkanone	bonbon	kanone	OTHER
bootskanone	boot	kanone	OTHER
erbsensuppenkanone	erbsensuppe	kanone	OTHER
erfolgskanone	erfolg	kanone	OTHER
frontkanone	front	kanone	OTHER
furzkanone	furz	kanone	DEROGATORY
gausskanone	gauß	kanone	OTHER
harpunen-kanone	harpune	kanone	OTHER
jagdkanone	jagd	kanone	OTHER
lederkanone	leder	kanone	OTHER
materialkanone	material	kanone	OTHER
mittagskanone	mittag	kanone	OTHER
netzkanone	netz	kanone	OTHER
propellerkanone	propeller	kanone	OTHER
schrotkanone	schrot	kanone	OTHER
sonarkanone	sonar	kanone	OTHER
unterhaltungskanone	unterhaltung	kanone	OTHER
wasserkanone	wasser	kanone	OTHER
albino-kellner	albino	kellner	OTHER
bistrokellner	bistro	kellner	OTHER
chefkellner	chef	kellner	OTHER
empfangskellner	empfang	kellner	OTHER
etagenkellner	etage	kellner	OTHER
frühstückskellner	frühstück	kellner	OTHER
getränkekellner	getränk	kellner	OTHER
kölsch-kellner	kölsch	kellner	OTHER
rathauskellner	rathaus	kellner	OTHER
restaurantkellner	restaurant	kellner	OTHER
ritz-kellner	ritz	kellner	OTHER
rollschuhkellner	rollschuh	kellner	OTHER
schiffskellner	schiff	kellner	OTHER
speisewagenkellner	speisewagen	kellner	OTHER
stepptanz-kellner	stepptanz	kellner	OTHER
surfer-kellner	surfer	kellner	OTHER
urinkellner	urin	kellner	DEROGATORY
wagenkellner	wagen	kellner	OTHER
wein-kellner	wein	kellner	OTHER
zimmerkellner	zimmer	kellner	OTHER
bayern-killer	bayern	killer	OTHER
berufskiller	beruf	killer	OTHER
bienenkiller	biene	killer	OTHER
cola-killer	cola	killer	OTHER
eurokiller	euro	killer	OTHER
familienkiller	familie	killer	OTHER
figur-killer	figur	killer	OTHER
fluchkiller	fluch	killer	OTHER
identitätskiller	identität	killer	OTHER
lungenkiller	lunge	killer	OTHER
natur-killer	natur	killer	OTHER
partykiller	party	killer	DEROGATORY
pflanzenkiller	pflanze	killer	OTHER
produktivitätskiller	produktivität	killer	OTHER
ritualkiller	ritual	killer	OTHER
serverkiller	server	killer	OTHER
spam-killer	spam	killer	OTHER
umweltkiller	umwelt	killer	OTHER
zahnstein-killer	zahnstein	killer	OTHER
zebra-killer	zebra	killer	OTHER
adoptivkind	adoptiv	kind	OTHER
christkind	christ	kind	OTHER
enkelkind	enkel	kind	OTHER
geburtstagskind	geburtstag	kind	OTHER
geschwisterkind	geschwister	kind	OTHER
grundschulkind	grundschul	kind	OTHER
heimkind	heim	kind	OTHER
jesuskind	jesus	kind	OTHER
katzenkind	katze	kind	OTHER
kindergartenkind	kindergarten	kind	OTHER
menschenkind	mensch	kind	OTHER
patenkind	pate	kind	OTHER
pflegekind	pflege	kind	OTHER
schulkind	schulen	kind	OTHER
sorgenkind	sorge	kind	OTHER
spielkind	spiel	kind	DEROGATORY
straßenkind	straße	kind	DEROGATORY
vorschulkind	vorschul	kind	OTHER
waisenkind	waise	kind	OTHER
wunderkind	wunder	kind	OTHER
bandenklatscher	bande	klatscher	OTHER
bauchklatscher	bauch	klatscher	OTHER
beifallklatscher	beifall	klatscher	DEROGATORY
dauerklatscher	dauer	klatscher	DEROGATORY
fersenklatscher	ferse	klatscher	OTHER
fliegenklatscher	fliege	klatscher	OTHER
handklatscher	hand	klatscher	OTHER
händeklatscher	hand	klatscher	OTHER
landungsklatscher	landung	klatscher	DEROGATORY
nackenklatscher	nacken	klatscher	OTHER
pappklatscher	papp	klatscher	OTHER
pfotenklatscher	pfote	klatscher	OTHER
popoklatscher	popo	klatscher	OTHER
rückenklatscher	rücken	klatscher	OTHER
schenkelklatscher	schenkel	klatscher	OTHER
spiegelklatscher	spiegel	klatscher	OTHER
stirnklatscher	stirn	klatscher	OTHER
tortenklatscher	torte	klatscher	OTHER
wandklatscher	wand	klatscher	OTHER
zipfelklatscher	zipfel	klatscher	DEROGATORY
abwehrklopfer	abwehr	klopfer	OTHER
buschklopfer	busch	klopfer	OTHER
dreschflegelklopfer	dreschflegel	klopfer	OTHER
energie-klopfer	energie	klopfer	OTHER
fensterklopfer	fenster	klopfer	OTHER
fingerklopfer	finger	klopfer	OTHER
mauerklopfer	mauer	klopfer	OTHER
messingklopfer	messing	klopfer	OTHER
metallklopfer	metall	klopfer	OTHER
oberschenkelklopfer	oberschenkel	klopfer	OTHER
puddingklopfer	pudding	klopfer	DEROGATORY
schenkelklopfer	schenkel	klopfer	OTHER
schnitzelklopfer	schnitzel	klopfer	OTHER
schulterklopfer	schulter	klopfer	OTHER
schädelklopfer	schädel	klopfer	OTHER
sprücheklopfer	spruch	klopfer	DEROGATORY
steinklopfer	stein	klopfer	OTHER
taktklopfer	takt	klopfer	OTHER
teppichklopfer	teppich	klopfer	OTHER
tischklopfer	tisch	klopfer	OTHER
aprikosenkloß	aprikose	kloß	OTHER
bohnenkloß	bohne	kloß	OTHER
bratkloß	brat	kloß	OTHER
buchweizenkloß	buchweizen	kloß	OTHER
dinkelkloß	dinkel	kloß	OTHER
fettkloß	fett	kloß	DEROGATORY
fischkloß	fisch	kloß	OTHER
fleischkloß	fleisch	kloß	OTHER
grünkernkloß	grünkern	kloß	OTHER
hechtkloß	hecht	kloß	OTHER
kaiserkloß	kaiser	kloß	OTHER
kartoffelkloß	kartoffel	kloß	OTHER
maismehlkloß	maismehl	kloß	OTHER
markkloß	mark	kloß	OTHER
mehlkloß	mehl	kloß	OTHER
mohnkloß	mohn	kloß	OTHER
planktonkloß	plankton	kloß	OTHER
semmelkloß	semmel	kloß	OTHER
teigkloß	teig	kloß	OTHER
trauerkloß	trauer	kloß	DEROGATORY
antennenknicker	antenne	knicker	DEROGATORY
briefknicker	brief	knicker	OTHER
erdbebenknicker	erdbeben	knicker	OTHER
familienknicker	familie	knicker	OTHER
freizeit-knicker	freizeit	knicker	OTHER
fähnchenknicker	fähnchen	knicker	DEROGATORY
glasknicker	glas	knicker	OTHER
heringsknicker	hering	knicker	OTHER
jugendknicker	jugend	knicker	OTHER
karriereknicker	karriere	knicker	OTHER
kennzeichenknicker	kennzeichen	knicker	DEROGATORY
kerzenknicker	kerze	knicker	DEROGATORY
kissenknicker	kissen	knicker	OTHER
leuchtstabknicker	leuchtstab	knicker	OTHER
metallknicker	metall	knicker	OTHER
pillenknicker	pille	knicker	OTHER
sonnenknicker	sonne	knicker	OTHER
sportknicker	sport	knicker	OTHER
tulpenknicker	tulpe	knicker	DEROGATORY
witzknicker	witz	knicker	OTHER
beinknochen	bein	knochen	OTHER
fleischknochen	fleisch	knochen	OTHER
geizknochen	geizen	knochen	DEROGATORY
gesichtsknochen	gesicht	knochen	OTHER
gesäßknochen	gesäß	knochen	OTHER
heiligen-knochen	heilige	knochen	OTHER
hüftbeinknochen	hüftbein	knochen	OTHER
keulenknochen	keule	knochen	OTHER
kormoranknochen	kormoran	knochen	OTHER
kotelettknochen	kotelett	knochen	OTHER
lammknochen	lamm	knochen	OTHER
leichenknochen	leiche	knochen	OTHER
nasenbeinknochen	nasenbein	knochen	OTHER
oberkeulenknochen	oberkeule	knochen	OTHER
ringfingerknochen	ringfinger	knochen	OTHER
schafsknochen	schaf	knochen	OTHER
schläfenknochen	schläfe	knochen	OTHER
sitzbeinknochen	sitzbein	knochen	OTHER
unterarmknochen	unterarm	knochen	OTHER
vogelknochen	vogel	knochen	OTHER
amateurkoch	amateur	koch	OTHER
berufskoch	beruf	koch	OTHER
büro-koch	büro	koch	OTHER
crack-koch	crack	koch	OTHER
diätkoch	diät	koch	OTHER
dosenkoch	dose	koch	DEROGATORY
drogenkoch	droge	koch	OTHER
feldkoch	feld	koch	OTHER
hamburger-koch	hamburger	koch	OTHER
hobbykoch	hobby	koch	OTHER
hochzeitskoch	hochzeit	koch	OTHER
kantinenkoch	kantine	koch	OTHER
militärkoch	militär	koch	OTHER
promikoch	promi	koch	OTHER
reisekoch	reise	koch	OTHER
schülerkoch	schüler	koch	OTHER
show-koch	show	koch	OTHER
suppenkoch	suppe	koch	OTHER
vorstandskoch	vorstand	koch	OTHER
wehrmachtskoch	wehrmacht	koch	OTHER
bündchenkragen	bündchen	kragen	OTHER
ersatzkragen	ersatz	kragen	OTHER
fuchskragen	fuchs	kragen	OTHER
geizkragen	geizen	kragen	DEROGATORY
goldkragen	gold	kragen	OTHER
gummikragen	gummi	kragen	OTHER
hemdenkragen	hemd	kragen	OTHER
hengstkragen	hengst	kragen	OTHER
killerkragen	killer	kragen	OTHER
kostümkragen	kostüm	kragen	OTHER
kunststoffkragen	kunststoff	kragen	OTHER
leistenkragen	leiste	kragen	OTHER
nadel-kragen	nadel	kragen	OTHER
predigerkragen	prediger	kragen	OTHER
priesterkragen	priester	kragen	OTHER
schaumkragen	schaum	kragen	OTHER
sicherheitskragen	sicherheit	kragen	OTHER
stammkragen	stamm	kragen	OTHER
wasserfallkragen	wasserfall	kragen	OTHER
wärmekragen	wärme	kragen	OTHER
autobahnkriecher	autobahn	kriecher	DEROGATORY
bodenkriecher	boden	kriecher	OTHER
bush-kriecher	bush	kriecher	DEROGATORY
feldkriecher	feld	kriecher	OTHER
flachlandkriecher	flachland	kriecher	DEROGATORY
höhlenkriecher	höhle	kriecher	OTHER
illuminati-kriecher	illuminati	kriecher	DEROGATORY
kluftkriecher	kluft	kriecher	OTHER
lochkriecher	loch	kriecher	OTHER
monarchenkriecher	monarch	kriecher	DEROGATORY
nachtkriecher	nacht	kriecher	OTHER
ohrenkriecher	ohr	kriecher	OTHER
parteikriecher	partei	kriecher	DEROGATORY
sandkriecher	sand	kriecher	OTHER
schleimkriecher	schleim	kriecher	OTHER
schlickkriecher	schlick	kriecher	OTHER
steinkriecher	stein	kriecher	OTHER
trompetenkriecher	trompete	kriecher	OTHER
wasserkriecher	wasser	kriecher	OTHER
wüstenkriecher	wüst	kriecher	OTHER
arzneimittelkrämer	arzneimittel	krämer	OTHER
dorfkrämer	dorf	krämer	OTHER
eisenkrämer	eisen	krämer	OTHER
geheimniskrämer	geheimnis	krämer	OTHER
gemüsekrämer	gemüse	krämer	OTHER
gerüchtekrämer	gerücht	krämer	OTHER
gewürzkrämer	gewürz	krämer	OTHER
glaskrämer	glas	krämer	OTHER
handelskrämer	handel	krämer	OTHER
karikaturistenkrämer	karikaturist	krämer	OTHER
kleinigkeitskrämer	kleinigkeit	krämer	OTHER
krautkrämer	kraut	krämer	OTHER
landkrämer	land	krämer	OTHER
marktkrämer	markt	krämer	OTHER
neuigkeitskrämer	neuigkeit	krämer	OTHER
schriftenkrämer	schrift	krämer	OTHER
todeskrämer	tod	krämer	OTHER
umstandskrämer	umstand	krämer	DEROGATORY
waffenkrämer	waffe	krämer	OTHER
zivilisationskrämer	zivilisation	krämer	OTHER
abschlussball-könig	abschlussball	könig	OTHER
bergkönig	berg	könig	OTHER
eingeborenen-könig	eingeborene	könig	OTHER
forumkönig	forum	könig	OTHER
frankenkönig	franke	könig	OTHER
gondel-könig	gondel	könig	OTHER
hunnenkönig	hunne	könig	OTHER
imbisskönig	imbiss	könig	OTHER
jahreskönig	jahr	könig	OTHER
kaffeekönig	kaffee	könig	OTHER
kommunikations-könig	kommunikation	könig	OTHER
lichtkönig	licht	könig	OTHER
ostfrankenkönig	ostfranken	könig	OTHER
puppenkönig	puppe	könig	OTHER
rabenkönig	rabe	könig	OTHER
rollenspielkönig	rollenspiel	könig	OTHER
schwalbenkönig	schwalbe	könig	DEROGATORY
sprinterkönig	sprinter	könig	OTHER
ungarnkönig	ungarn	könig	OTHER
zirkuskönig	zirkus	könig	OTHER
ausdauer-lutscher	ausdauer	lutscher	OTHER
brauselutscher	brause	lutscher	OTHER
colalutscher	cola	lutscher	OTHER
dauerlutscher	dauer	lutscher	OTHER
daumenlutscher	daumen	lutscher	OTHER
dropslutscher	drops	lutscher	OTHER
feigenlutscher	feige	lutscher	DEROGATORY
hodenlutscher	hoden	lutscher	DEROGATORY
jahrmarktslutscher	jahrmarkt	lutscher	OTHER
karamellutscher	karamel	lutscher	OTHER
lakritzlutscher	lakritz	lutscher	OTHER
milchlutscher	milch	lutscher	OTHER
osterhasenlutscher	osterhase	lutscher	OTHER
papstlutscher	papst	lutscher	OTHER
schuhlutscher	schuh	lutscher	DEROGATORY
schwanzlutscher	schwanz	lutscher	DEROGATORY
seifenlutscher	seife	lutscher	DEROGATORY
spaghettilutscher	spaghetti	lutscher	DEROGATORY
zitronenlutscher	zitrone	lutscher	OTHER
zuckerlutscher	zucker	lutscher	OTHER
actionfilm-macher	actionfilm	macher	OTHER
airbusmacher	airbus	macher	OTHER
appetitmacher	appetit	macher	OTHER
augenmacher	auge	macher	OTHER
büchsenmacher	büchse	macher	OTHER
cola-macher	cola	macher	OTHER
comic-macher	comic	macher	OTHER
dvd-macher	dvd	macher	OTHER
entscheidungsmacher	entscheidung	macher	OTHER
festival-macher	festival	macher	OTHER
filmemacher	film	macher	OTHER
gastromacher	gastro	macher	OTHER
gesetzesmacher	gesetz	macher	OTHER
lexikonmacher	lexikon	macher	OTHER
liedermacher	lied	macher	OTHER
mut-macher	mut	macher	OTHER
papiermacher	papier	macher	OTHER
pisa-macher	pisa	macher	OTHER
spaßmacher	spaß	macher	OTHER
sprüchemacher	spruch	macher	DEROGATORY
bergmade	berg	made	OTHER
bienenmade	biene	made	OTHER
drohnenmade	drohn	made	OTHER
fliegenmade	fliege	made	OTHER
fruchtmade	frucht	made	OTHER
grasnomade	grasno	made	OTHER
holzmade	holz	made	OTHER
horn-made	horn	made	OTHER
insektenmade	insekt	made	OTHER
leichenmade	leiche	made	OTHER
mistmade	mist	made	DEROGATORY
mottenmade	motte	made	OTHER
müllmade	müll	made	OTHER
regenmade	regen	made	OTHER
rock-made	rock	made	OTHER
rohrmade	rohr	made	OTHER
sandmade	sand	made	OTHER
wachsmade	wachs	made	OTHER
wundmade	wund	made	OTHER
wurmmade	wurm	made	OTHER
amateurmaler	amateur	maler	OTHER
baarmaler	baar	maler	OTHER
barockmaler	barock	maler	OTHER
comicmaler	comic	maler	OTHER
durchschnittsmaler	durchschnitt	maler	OTHER
eiermaler	ei	maler	DEROGATORY
film-maler	film	maler	OTHER
freizeit-maler	freizeit	maler	OTHER
gerstenmaler	gerste	maler	OTHER
glasmaler	glas	maler	OTHER
heiligenbildmaler	heiligenbild	maler	OTHER
herzchenmaler	herzchen	maler	DEROGATORY
historien-maler	historie	maler	OTHER
hoftheatermaler	hoftheater	maler	OTHER
hollywood-maler	hollywood	maler	OTHER
ikonen-maler	ikone	maler	OTHER
nachwuchs-maler	nachwuchs	maler	OTHER
schiffsmaler	schiff	maler	OTHER
schollenmaler	scholle	maler	OTHER
stubenmaler	stube	maler	OTHER
ehrenmann	ehre	mann	OTHER
ekelmann	ekel	mann	DEROGATORY
geschäftsmann	geschäft	mann	OTHER
gewerbemann	gewerbe	mann	OTHER
gottesmann	gott	mann	OTHER
hausmann	haus	mann	OTHER
holzmann	holz	mann	OTHER
knüppelmann	knüppel	mann	OTHER
laden-mann	laden	mann	OTHER
landsmann	land	mann	OTHER
medizinmann	medizin	mann	OTHER
milchmann	milch	mann	OTHER
märchenmann	märchen	mann	OTHER
partei-mann	partei	mann	OTHER
schlussmann	schluss	mann	OTHER
schlüsselmann	schlüssel	mann	OTHER
schneemann	schnee	mann	OTHER
traummann	traum	mann	OTHER
wahlmann	wahl	mann	OTHER
wassermann	wasser	mann	OTHER
allergiker-matratze	allergiker	matratze	OTHER
babymatratze	baby	matratze	OTHER
betonmatratze	beton	matratze	OTHER
campingmatratze	camping	matratze	OTHER
dorfmatratze	dorf	matratze	DEROGATORY
einstreumatratze	einstreu	matratze	OTHER
federmatratze	feder	matratze	OTHER
gesundheitsmatratze	gesundheit	matratze	OTHER
latexmatratze	latex	matratze	OTHER
ledermatratze	leder	matratze	OTHER
magnet-matratze	magnet	matratze	OTHER
naturmatratze	natur	matratze	OTHER
pflanzen-matratze	pflanze	matratze	OTHER
probematratze	probe	matratze	OTHER
reklamematratze	reklame	matratze	OTHER
strandmatratze	strand	matratze	OTHER
traktionsmatratze	traktion	matratze	OTHER
vereinsmatratze	verein	matratze	DEROGATORY
wasserbettmatratze	wasserbett	matratze	OTHER
übernachtungsmatratze	übernachtung	matratze	OTHER
affenmaul	affe	maul	OTHER
drachenmaul	drache	maul	OTHER
ersatzmaul	ersatz	maul	OTHER
fischmaul	fisch	maul	OTHER
froschmaul	frosch	maul	OTHER
hundemaul	hund	maul	OTHER
karpfenmaul	karpfen	maul	OTHER
katzenmaul	katze	maul	OTHER
krokodilmaul	krokodil	maul	OTHER
krötenmaul	kröte	maul	OTHER
kussmaul	kuss	maul	OTHER
lügenmaul	lüge	maul	DEROGATORY
ochsenmaul	ochse	maul	OTHER
pferdemaul	pferd	maul	OTHER
raubtiermaul	raubtier	maul	OTHER
schlangenmaul	schlange	maul	OTHER
schweinsmaul	schwein	maul	OTHER
tiermaul	tier	maul	OTHER
ungeheuermaul	ungeheuer	maul	OTHER
zuckermaul	zucker	maul	OTHER
alpenmolch	alp	molch	OTHER
bergmolch	berg	molch	OTHER
fadenmolch	faden	molch	OTHER
gartenmolch	garten	molch	OTHER
kammmolch	kamm	molch	OTHER
kanalmolch	kanal	molch	OTHER
karpatenmolch	karpaten	molch	OTHER
kohlenmolch	kohle	molch	OTHER
krokodilmolch	krokodil	molch	OTHER
körnchenmolch	körnchen	molch	OTHER
ledermolch	leder	molch	OTHER
lustmolch	lust	molch	DEROGATORY
marmormolch	marmor	molch	OTHER
panzermolch	panzer	molch	OTHER
regenmolch	regen	molch	OTHER
schwefelmolch	schwefel	molch	OTHER
streifenmolch	streifen	molch	OTHER
teichmolch	teich	molch	OTHER
versuchsmolch	versuch	molch	OTHER
wassermolch	wasser	molch	OTHER
dreirad-moped	dreirad	moped	OTHER
fichtenmoped	fichte	moped	OTHER
flakmoped	flak	moped	OTHER
gebrauchtmoped	gebraucht	moped	OTHER
geländemoped	gelände	moped	OTHER
gesichtsmoped	gesicht	moped	DEROGATORY
holzmoped	holz	moped	OTHER
kult-moped	kult	moped	OTHER
lastenmoped	last	moped	OTHER
nato-moped	nato	moped	OTHER
peugeot-moped	peugeot	moped	OTHER
schlammmoped	schlamm	moped	OTHER
schrottplatzmoped	schrottplatz	moped	OTHER
steinzeitmoped	steinzeit	moped	OTHER
traummoped	traum	moped	OTHER
volksmoped	volk	moped	OTHER
wassermoped	wasser	moped	OTHER
wasserstoff-moped	wasserstoff	moped	OTHER
weltraum-moped	weltraum	moped	OTHER
zeitmoped	zeit	moped	OTHER
adler-mutter	adler	mutter	OTHER
amselmutter	amsel	mutter	OTHER
bärenmutter	bär	mutter	OTHER
gewindemutter	gewinde	mutter	OTHER
